,0,1,2
0,London,22,Light rain
1,Birmingham,20,Partially cloudy
2,Liverpool,20,Clear
3,Nottingham,21,Partially cloudy
4,Sheffield,20,Partially cloudy
5,Bristol,20,Partially cloudy
6,Glasgow,17,Rain showers
7,Leicester,21,Cloud
8,Edinburgh,19,Partially cloudy
9,Leeds,21,Partially cloudy
10,Cardiff,19,Partially cloudy
11,Manchester,22,Clear
12,Stoke-on-Trent,19,Clear
13,Teesside,20,Clear
14,Coventry,21,Cloud
15,Newham,22,Rain showers
16,Sunderland,20,Clear
17,Birkenhead,20,Clear
18,Islington,22,Rain showers
19,Reading,21,Rain showers
20,Hull,23,Clear
21,Preston,19,Clear
22,Newport,19,Partially cloudy
23,Lewisham,22,Rain showers
24,Swansea,18,Rain showers
25,Bradford,20,Partially cloudy
26,Southend-on-Sea,21,Light rain
27,Greenwich,22,Light rain
28,Belfast,18,Light rain
29,Derby,21,Partially cloudy
30,Plymouth,18,Partially cloudy
31,Luton,21,Rain showers
32,Wolverhampton,19,Partially cloudy
33,Southampton,19,Rain showers
34,Blackpool,19,Clear
35,Milton Keynes,22,Cloud
36,Bexley,21,Rain showers
37,Northampton,21,Cloud
38,Norwich,23,Light rain
39,Barking and Dagenham,22,Rain showers
40,Merton,22,Light rain
41,Dudley,20,Partially cloudy
42,Aberdeen,19,Partially cloudy
43,Portsmouth,18,Light rain
44,Newcastle upon Tyne,19,Clear
45,Swindon,20,Partially cloudy
46,Crawley,20,Rain showers
47,Hammersmith and Fulham,22,Light rain
48,Ipswich,22,Light rain
49,Wigan,20,Clear
50,Croydon,21,Rain showers
51,Walsall,20,Partially cloudy
52,Mansfield,20,Partially cloudy
53,Oxford,21,Partially cloudy
54,Warrington,21,Clear
55,Slough,22,Light rain
56,Bournemouth,18,Partially cloudy
57,Peterborough,22,Cloud
58,Cambridge,23,Cloud
59,Doncaster,22,Partially cloudy
60,Royal Kensington and Chelsea,22,Light rain
61,York,21,Partially cloudy
62,Poole,19,Partially cloudy
63,Gloucester,20,Cloud
64,Burnley,18,Clear
65,Huddersfield,20,Partially cloudy
66,Telford,19,Clear
67,Dundee,19,Clear
68,Blackburn,18,Clear
69,Basildon,21,Rain showers
70,Middlesbrough,20,Clear
71,Bolton,20,Clear
72,London Gatwick Airport,20,Rain showers
73,Stockport,21,Clear
74,Brighton,18,Light rain
75,West Bromwich,20,Partially cloudy
76,Grimsby,23,Partially cloudy
77,Torbay,19,Partially cloudy
78,Hastings,19,Light rain
79,High Wycombe,21,Rain showers
80,Watford,22,Rain showers
81,Burton-on-Trent,21,Partially cloudy
82,Colchester,22,Light rain
83,Eastbourne,18,Rain showers
84,Exeter,19,Cloud
85,Rotherham,21,Partially cloudy
86,Cheltenham,19,Cloud
87,Lincoln,22,Partially cloudy
88,Bassetlaw,21,Partially cloudy
89,Chesterfield,21,Partially cloudy
90,Broxtowe,21,Partially cloudy
91,Chelmsford,22,Rain showers
92,Mendip,19,Partially cloudy
93,Basingstoke,20,Light rain
94,Maidstone,19,Rain showers
95,Sutton Coldfield,20,Cloud
96,Bedford,22,Partially cloudy
97,Oldham,20,Partially cloudy
98,Enfield,21,Light rain
99,Woking,20,Light rain
